Landmark,Method,Semantic_Pass,Structural_Score,Reason
006_Floralis_Genérica_Buenos_Aires_布宜诺斯艾利斯金属花_round_3_1,BaselineB,1,8,"The symbol captures the core structure of the Floralis Genérica with petals and a base. However, the petals are more stylized and less reflective of the actual metallic appearance, and the base is more pronounced than in reality."
006_Floralis_Genérica_Buenos_Aires_布宜诺斯艾利斯金属花_round_3_1,LS-MAS,1,8,"The generated symbol captures the core structure of the Floralis Genérica with its petal-like shapes. However, the petals are more stylized and less reflective of the metallic texture. The base is simplified but recognizable."
007_Gateshead_Millennium_Bridge_盖茨黑德千禧桥_round_3_1,BaselineA,1,8,"The symbol captures the distinctive arch and cable structure of the Gateshead Millennium Bridge. However, the representation of the tilting mechanism and the bridge's unique shape is slightly simplified, leading to minor stylistic artifacts."
007_Gateshead_Millennium_Bridge_盖茨黑德千禧桥_round_3_1,BaselineB,1,8,"The symbol captures the distinctive arch and tilting structure of the bridge. However, the representation of the cables and the deck could be more refined for higher accuracy."
007_Gateshead_Millennium_Bridge_盖茨黑德千禧桥_round_3_1,LS-MAS,1,8,"The symbol captures the distinctive arch and tilt of the bridge, representing its core structure. However, the geometric abstraction introduces slight stylistic artifacts, such as exaggerated curves."
008_Geisel_Library_UCSD_盖泽尔图书馆_round_3_1,BaselineA,1,9,"The generated symbol accurately captures the core structure and iconic design of the Geisel Library, including the distinctive overhanging floors and supporting columns. The geometric abstraction is precise and suitable for GIS use."
008_Geisel_Library_UCSD_盖泽尔图书馆_round_3_1,BaselineB,1,9,"The generated symbol accurately captures the distinctive multi-tiered, angular structure of the Geisel Library. The core macro-structure is correctly identified, and the geometric abstraction is highly accurate with minimal stylistic artifacts."
008_Geisel_Library_UCSD_盖泽尔图书馆_round_3_1,LS-MAS,1,9,"The generated symbol accurately captures the core structure and iconic design of the Geisel Library, including the distinctive overhanging floors and supporting columns. The geometric abstraction is precise and topologically accurate, with only minor stylistic simplifications."
009_Giant_Thermometer_Chimney_Shanghai_上海大烟囱温度计_round_3_1,BaselineA,1,8,"The symbol correctly represents the thermometer aspect of the landmark with a clear vertical structure. The addition of steam is a slight deviation, but the overall shape is accurate. Minor stylistic artifacts are present."
009_Giant_Thermometer_Chimney_Shanghai_上海大烟囱温度计_round_3_1,BaselineB,1,8,"The symbol correctly represents the thermometer aspect of the landmark with a vertical structure and temperature markings. However, the base structure is slightly stylized and lacks some detail, but overall, it captures the essential features."
009_Giant_Thermometer_Chimney_Shanghai_上海大烟囱温度计_round_3_1,LS-MAS,1,8,"The symbol correctly represents the thermometer shape of the landmark. The structure is good, but there are slight stylistic differences from the actual landmark."
010_Guangzhou_Circle_Mansion_广州圆大厦_round_3_1,BaselineA,1,9,"The generated symbol accurately captures the circular shape and central hole of the Guangzhou Circle Mansion. The geometric pattern is well-represented, and the base structure is included, making it a highly accurate abstraction suitable for GIS use."
010_Guangzhou_Circle_Mansion_广州圆大厦_round_3_1,BaselineB,1,9,"The generated symbol accurately represents the circular shape and central hole of the Guangzhou Circle Mansion. The geometric pattern is well-captured, and the base structure is included, making it a highly accurate abstraction suitable for GIS use."
010_Guangzhou_Circle_Mansion_广州圆大厦_round_3_1,LS-MAS,1,9,"The generated symbol accurately represents the circular shape and central hole of the Guangzhou Circle Mansion. The lattice pattern is simplified but recognizable, and the base is depicted correctly. The symbol is geometrically refined and suitable for GIS use."
011_Hallgrímskirkja_Church_冰岛哈尔格林姆教堂_round_3_1,BaselineA,1,9,"The generated symbol accurately captures the core structure and iconic features of Hallgrímskirkja, including the stepped facade and central tower. The geometric abstraction is precise and suitable for GIS use, with only minor stylistic simplifications."
011_Hallgrímskirkja_Church_冰岛哈尔格林姆教堂_round_3_1,BaselineB,1,9,"The generated symbol accurately captures the core structure and iconic stepped facade of Hallgrímskirkja. The central tower and flanking wings are well-represented, with minor stylistic simplifications."
011_Hallgrímskirkja_Church_冰岛哈尔格林姆教堂_round_3_1,LS-MAS,1,9,"The symbol accurately captures the iconic stepped facade and central tower of Hallgrímskirkja. The geometric abstraction is precise, with minor stylistic simplifications."
012_Henderson_Waves_Bridge_Singapore_亨德森波浪桥_round_3_1,BaselineA,1,7,"The symbol captures the wave-like structure of the bridge, but lacks the detailed curvature and unique design elements. The basic shape is correct, but the representation is simplified."
012_Henderson_Waves_Bridge_Singapore_亨德森波浪桥_round_3_1,BaselineB,1,8,"The generated symbol captures the wave-like structure of the Henderson Waves Bridge, which is its core characteristic. However, the symbol simplifies the bridge's intricate design, lacking some of the finer details and curvature nuances."
012_Henderson_Waves_Bridge_Singapore_亨德森波浪桥_round_3_1,LS-MAS,1,8,"The generated symbol captures the wave-like structure of the Henderson Waves Bridge, correctly identifying its core macro-structure. The symbol's topology is good, with slight stylistic simplifications, but it effectively represents the bridge's iconic undulating form."
013_Heydar_Aliyev_Center_阿塞拜疆阿利耶夫中心_round_3_1,BaselineA,1,8,"The generated symbol captures the core flowing structure of the Heydar Aliyev Center, including the iconic wave-like curves. However, some minor details and geometric refinements could be improved for higher accuracy."
013_Heydar_Aliyev_Center_阿塞拜疆阿利耶夫中心_round_3_1,BaselineB,1,8,"The generated symbol captures the core flowing structure of the Heydar Aliyev Center. The iconic wave-like form is represented, though with some stylistic simplifications. The topology is good, but minor details like the curvature and surface texture are slightly abstracted."
013_Heydar_Aliyev_Center_阿塞拜疆阿利耶夫中心_round_3_1,LS-MAS,1,8,"The generated symbol captures the core flowing structure of the Heydar Aliyev Center. The iconic wave-like form is represented, though with some stylistic simplifications. The topology is good, but minor details and curves could be refined for higher accuracy."
014_Juscelino_Kubitschek_Bridge_儒塞利诺库比契克大桥_round_3_1,BaselineA,1,8,"The symbol captures the core structure of the bridge with its distinctive arches. However, it simplifies the three arches into two, which slightly affects the geometric accuracy."
014_Juscelino_Kubitschek_Bridge_儒塞利诺库比契克大桥_round_3_1,BaselineB,1,9,"The generated symbol accurately represents the core structure of the Juscelino Kubitschek Bridge with its distinctive arches. The topology is well-defined and geometrically refined, suitable for GIS use."
014_Juscelino_Kubitschek_Bridge_儒塞利诺库比契克大桥_round_3_1,LS-MAS,1,9,"The generated symbol accurately represents the core structure of the Juscelino Kubitschek Bridge with its distinctive arches. The topology is well-defined and geometrically refined, suitable for GIS use."
015_Laguna_Garzón_Bridge_拉古纳加尔松桥_round_3_1,BaselineA,0,2,"The generated symbol does not represent the circular structure of the Laguna Garzón Bridge. It depicts a traditional bridge with towers and arches, which is not present in the actual landmark."
015_Laguna_Garzón_Bridge_拉古纳加尔松桥_round_3_1,BaselineB,1,9,"The generated symbol accurately represents the circular structure of the Laguna Garzón Bridge with the correct macro-structure. The topology is clear and geometrically refined, suitable for GIS use."
015_Laguna_Garzón_Bridge_拉古纳加尔松桥_round_3_1,LS-MAS,1,9,"The generated symbol accurately represents the circular structure of the Laguna Garzón Bridge with the correct macro-structure. The topology is clear and geometrically refined, capturing the essential design of the bridge."
016_Lanzhou_Yellow_River_Iron_Bridge_兰州黄河铁桥_round_3_-_副本_1,BaselineA,1,8,"The symbol captures the core structure of the bridge with its arches and supports. However, it simplifies the multiple arches into one, which slightly reduces geometric accuracy."
016_Lanzhou_Yellow_River_Iron_Bridge_兰州黄河铁桥_round_3_-_副本_1,BaselineB,1,9,"The generated symbol accurately represents the core structure of the bridge with its distinctive arches and supports. The topology is well-defined and geometrically refined, suitable for GIS use."
016_Lanzhou_Yellow_River_Iron_Bridge_兰州黄河铁桥_round_3_-_副本_1,LS-MAS,1,9,"The generated symbol accurately represents the core structure of the Lanzhou Yellow River Iron Bridge with its distinctive arches and supports. The topology is well-defined and geometrically refined, suitable for GIS use."
017_Les_Voyageurs_sculpture_Marseille_马赛旅行者雕塑身体缺失者_round_3_1,BaselineA,0,3,"The generated symbol does not capture the unique fragmented structure of the sculpture. It depicts a complete figure in a robe, which is not representative of the original artwork's missing body parts and modern style."
017_Les_Voyageurs_sculpture_Marseille_马赛旅行者雕塑身体缺失者_round_3_1,BaselineB,0,3,"The generated symbol does not capture the unique fragmented structure of the sculpture. It shows complete figures, lacking the iconic missing body parts. The structure is basic and lacks the necessary abstraction to represent the landmark accurately."
017_Les_Voyageurs_sculpture_Marseille_马赛旅行者雕塑身体缺失者_round_3_1,LS-MAS,0,3,"The generated symbol does not capture the unique fragmented structure of the sculpture. It shows two complete figures, which is a severe deviation from the iconic missing body parts. The structure is basic and lacks the necessary abstraction of the original sculpture's form."
018_Lucky_Knot_Bridge_Changsha_长沙幸运结桥_round_3_1,BaselineA,0,3,"The generated symbol fails to capture the unique intertwined structure of the Lucky Knot Bridge. It incorrectly represents the bridge as a traditional arch with lattice patterns, missing the iconic looping design. The symbol is topologically flawed and does not reflect the bridge's distinctive form."
018_Lucky_Knot_Bridge_Changsha_长沙幸运结桥_round_3_1,BaselineB,1,8,"The symbol captures the core intertwined structure of the bridge, but lacks some of the intricate details and curvature present in the actual design."
018_Lucky_Knot_Bridge_Changsha_长沙幸运结桥_round_3_1,LS-MAS,1,8,"The symbol captures the core looping structure of the Lucky Knot Bridge, but lacks some of the intricate details and complexity of the actual design. The basic shape is correct, but the geometric abstraction is slightly simplified."
019_Maman_sculpture_Louise_Bourgeois_毕尔巴鄂大蜘蛛雕塑_round_3_1,BaselineA,1,9,"The generated symbol accurately represents the core structure of the Maman sculpture with its spider-like form and multiple legs. The topology is clean and geometrically refined, suitable for GIS use."
019_Maman_sculpture_Louise_Bourgeois_毕尔巴鄂大蜘蛛雕塑_round_3_1,BaselineB,1,9,"The generated symbol accurately represents the core structure of the Maman sculpture with its spider-like form and multiple legs. The geometric abstraction is precise, capturing the essential features with minimal stylistic artifacts."
019_Maman_sculpture_Louise_Bourgeois_毕尔巴鄂大蜘蛛雕塑_round_3_1,LS-MAS,1,9,"The generated symbol accurately represents the core structure of the Maman sculpture with its spider-like form. The legs and body are well-defined, capturing the essential posture and iconic features. The geometric abstraction is precise, with minimal stylistic artifacts, making it suitable for GIS use."
020_Matrimandir_Auroville_India_黎明之城大金球_round_3_1,BaselineA,1,9,"The generated symbol accurately represents the spherical structure and the distinctive circular patterns of the Matrimandir. The base structure is also well-depicted, capturing the essential features. Minor stylistic simplifications are present, but overall, it is a highly accurate abstraction suitable for GIS use."
020_Matrimandir_Auroville_India_黎明之城大金球_round_3_1,BaselineB,1,8,"The symbol correctly represents the spherical shape and the supporting structure of the Matrimandir. The geometric abstraction is good, but lacks detailed texture and minor features."
020_Matrimandir_Auroville_India_黎明之城大金球_round_3_1,LS-MAS,1,9,"The generated symbol accurately represents the spherical structure and the base of the Matrimandir. The geometric abstraction is clear and topologically accurate, with the iconic circular patterns and base structure well depicted."
021_Prague_Kafka_bust_Statue_布拉格卡夫卡头像雕像_round_3_1,BaselineA,0,5,"The generated symbol does not capture the segmented, reflective structure of the Kafka bust. It represents a generic bust with a suit, lacking the unique layered design. Basic shape is present but lacks key features."
021_Prague_Kafka_bust_Statue_布拉格卡夫卡头像雕像_round_3_1,BaselineB,1,9,"The generated symbol accurately captures the core structure and layered design of the Kafka bust. The geometric abstraction is precise, with clear delineation of the layers, making it suitable for GIS use."
021_Prague_Kafka_bust_Statue_布拉格卡夫卡头像雕像_round_3_1,LS-MAS,1,9,"The generated symbol accurately captures the core structure and layered design of the Kafka bust. The geometric abstraction is precise, with clear delineation of the layers, making it suitable for GIS use."
022_Python_Bridge_Amsterdam_阿姆斯特丹巨蟒桥_round_3_1,BaselineA,1,8,"The generated symbol captures the core wavy structure of the Python Bridge and includes the distinctive lattice pattern. However, the representation is slightly simplified, missing some of the finer details like the specific curvature and lamp posts."
022_Python_Bridge_Amsterdam_阿姆斯特丹巨蟒桥_round_3_1,BaselineB,1,8,"The symbol captures the undulating form and arch structure of the bridge, but lacks some finer details like the vertical elements and lighting features."
022_Python_Bridge_Amsterdam_阿姆斯特丹巨蟒桥_round_3_1,LS-MAS,1,8,"The generated symbol captures the wavy structure and general form of the Python Bridge. However, it lacks some of the finer details like the vertical elements and the distinctive lamp posts, which slightly affects its geometric refinement."
023_Ruyi_Bridge_Shenxianju_神仙居如意桥_round_3_1,BaselineA,0,2,"The generated symbol depicts a traditional arched bridge, which does not match the unique wavy structure of the Ruyi Bridge. The symbol lacks the distinctive undulating design and multiple arches of the actual bridge, resulting in a severe misrepresentation."
023_Ruyi_Bridge_Shenxianju_神仙居如意桥_round_3_1,BaselineB,0,3,The generated symbol fails to capture the distinctive wavy structure of the Ruyi Bridge. It lacks the iconic looping design and instead shows a simple arch. The topology is basic and does not reflect the bridge's unique features.
023_Ruyi_Bridge_Shenxianju_神仙居如意桥_round_3_1,LS-MAS,0,3,The generated symbol fails to capture the distinctive wavy structure of the Ruyi Bridge. It lacks the iconic looping design and instead shows a simple arch. The topology is basic and does not reflect the bridge's unique features.
024_Sheikh_Zayed_Bridge_Abu_Dhabi_谢赫扎耶德大桥_round_3_1,BaselineA,1,7,"The generated symbol captures the core arch structure of the Sheikh Zayed Bridge. However, it simplifies the complex curves and lacks the distinctive wave-like design. The topology is good but not highly detailed."
024_Sheikh_Zayed_Bridge_Abu_Dhabi_谢赫扎耶德大桥_round_3_1,BaselineB,1,8,"The generated symbol captures the iconic wave-like arches of the Sheikh Zayed Bridge, correctly identifying its core structure. However, the geometric abstraction introduces slight stylistic artifacts, such as exaggerated curves, which slightly deviate from the precise topology of the actual bridge."
024_Sheikh_Zayed_Bridge_Abu_Dhabi_谢赫扎耶德大桥_round_3_1,LS-MAS,1,8,"The generated symbol captures the core arch structure of the Sheikh Zayed Bridge. The arches are represented well, but there are slight stylistic simplifications and minor geometric inaccuracies."
025_Shenyang_Coin_Building_沈阳方圆大厦_round_3_1,BaselineA,0,3,"The generated symbol does not capture the circular shape of the Shenyang Coin Building. It represents a generic rectangular building, missing the iconic round structure. The symbol lacks the unique architectural features, making it topologically inaccurate."
025_Shenyang_Coin_Building_沈阳方圆大厦_round_3_1,BaselineB,1,8,"The symbol captures the core circular structure of the building, resembling a coin. The base and vertical support are represented, but the details are simplified, and some minor architectural features are missing."
025_Shenyang_Coin_Building_沈阳方圆大厦_round_3_1,LS-MAS,1,8,"The symbol captures the circular shape and central cutout of the building, representing its core structure. However, the base and support details are simplified, lacking some architectural nuances."
026_Sibelius_Monument_芬兰西贝柳斯纪念碑_round_3_1,BaselineA,1,8,"The symbol captures the core structure of the monument with vertical pipes and includes the head sculpture, which is a key feature. The geometric abstraction is good, but there are slight stylistic simplifications."
026_Sibelius_Monument_芬兰西贝柳斯纪念碑_round_3_1,BaselineB,1,8,"The generated symbol captures the core structure of the Sibelius Monument with vertical pipes. However, the arrangement lacks some of the complexity and variation in pipe lengths seen in the actual monument, leading to a slightly simplified representation."
026_Sibelius_Monument_芬兰西贝柳斯纪念碑_round_3_1,LS-MAS,1,8,"The symbol captures the core structure of the Sibelius Monument with vertical pipes. However, it lacks some of the intricate details and texture of the pipes, and the base is simplified."
027_Songyue_Pagoda_登封市嵩山嵩岳寺塔_round_3_1,BaselineA,1,8,"The symbol captures the tiered structure and general shape of the pagoda. However, it lacks the detailed curvature and texture of the real pagoda, and the top is simplified."
027_Songyue_Pagoda_登封市嵩山嵩岳寺塔_round_3_1,BaselineB,1,8,"The symbol captures the tiered structure of the pagoda accurately, with the correct number of layers and overall shape. However, it lacks some finer architectural details and texture present in the actual pagoda."
027_Songyue_Pagoda_登封市嵩山嵩岳寺塔_round_3_1,LS-MAS,1,8,"The symbol captures the tiered structure of the pagoda, but lacks detailed architectural features. The overall shape is correct, but minor stylistic artifacts are present."
028_The_Helix_Bridge_Singapore_新加坡双螺旋桥_round_3_1,BaselineA,0,4,"The generated symbol does not capture the unique double helix structure of the Helix Bridge. The symbol shows a generic bridge with arches, lacking the iconic spiral design. The basic bridge shape is present, but it is topologically flawed for this specific landmark."
028_The_Helix_Bridge_Singapore_新加坡双螺旋桥_round_3_1,BaselineB,1,9,"The generated symbol accurately captures the helical structure of the Helix Bridge. The intertwining pattern is well-represented, and the overall shape is geometrically refined and topologically accurate."
028_The_Helix_Bridge_Singapore_新加坡双螺旋桥_round_3_1,LS-MAS,1,9,"The generated symbol accurately captures the helical structure of the bridge with intersecting lines. The topology is well-represented and geometrically refined, suitable for GIS use."
029_The_Interlace_Singapore_新加坡翠城新景_round_3_1,BaselineA,0,2,"The generated symbol resembles a bridge with arches, which does not match the stacked, interlocking structure of The Interlace. The symbol lacks the iconic horizontal and vertical block arrangement."
029_The_Interlace_Singapore_新加坡翠城新景_round_3_1,BaselineB,1,8,"The generated symbol captures the core macro-structure of The Interlace with its stacked, interlocking rectangular forms. However, the symbol lacks some of the finer details and complexity of the actual architecture, such as the varied heights and orientations of the blocks."
029_The_Interlace_Singapore_新加坡翠城新景_round_3_1,LS-MAS,1,9,"The generated symbol captures the stacked, interlocking structure of The Interlace. The geometric abstraction is accurate and topologically sound, with clear representation of the building's unique design."
030_The_Kelpies_sculptures_苏格兰凯尔派马头_round_3_1,BaselineA,0,1,"The generated symbol is a flamingo, which does not represent the horse head sculptures of The Kelpies. There is a complete mismatch in identity and structure."
030_The_Kelpies_sculptures_苏格兰凯尔派马头_round_3_1,BaselineB,1,9,"The generated symbol accurately represents the core structure of the Kelpies sculptures, capturing the horse heads and their posture. The geometric abstraction is clean and topologically accurate, with minor stylistic simplifications."
030_The_Kelpies_sculptures_苏格兰凯尔派马头_round_3_1,LS-MAS,1,9,"The generated symbol accurately represents the core structure of the Kelpies sculptures, capturing the horse heads and their posture. The geometric abstraction is clean and topologically accurate, with minor stylistic simplifications."
031_Traffic_Light_Tree_London_伦敦红绿灯树雕塑_round_3_1,BaselineA,1,9,"The generated symbol accurately represents the core structure of the Traffic Light Tree with multiple traffic lights branching out from a central pole. The geometric abstraction is clear and topologically accurate, with only minor stylistic simplifications."
031_Traffic_Light_Tree_London_伦敦红绿灯树雕塑_round_3_1,BaselineB,1,9,"The generated symbol accurately represents the core structure of the Traffic Light Tree with multiple traffic lights branching out. The geometric abstraction is clear and topologically accurate, with only minor stylistic simplifications."
031_Traffic_Light_Tree_London_伦敦红绿灯树雕塑_round_3_1,LS-MAS,1,9,"The generated symbol accurately represents the core structure of the Traffic Light Tree with multiple traffic lights branching out. The topology is clear and geometrically refined, capturing the essence of the sculpture effectively."
032_Unisphere_Queens_New_York_纽约法拉盛地球仪_round_3_1,BaselineA,1,8,"The symbol captures the core structure of the Unisphere with the globe and rings. However, the base is simplified and lacks the detailed support structure seen in the photograph."
032_Unisphere_Queens_New_York_纽约法拉盛地球仪_round_3_1,BaselineB,1,8,"The symbol correctly represents the Unisphere with a globe and supporting base. The grid structure and continents are depicted, but the base is simplified and lacks some detail."
032_Unisphere_Queens_New_York_纽约法拉盛地球仪_round_3_1,LS-MAS,1,8,"The generated symbol correctly identifies the Unisphere with its globe structure and rings. The basic shape and posture are accurate, but the base is more stylized and less detailed than the actual structure."
033_WonderWorks_Orlando_奥兰多颠倒屋_round_3_1,BaselineA,1,8,"The symbol captures the core concept of the upside-down building with recognizable features like the roof and windows. However, it lacks some detailed architectural elements and has slight stylistic simplifications."
033_WonderWorks_Orlando_奥兰多颠倒屋_round_3_1,BaselineB,1,8,"The symbol correctly identifies the upside-down structure of WonderWorks. It captures the essential features like the inverted building shape and the prominent 'WonderWorks' sign. However, it lacks some detailed elements like the roof texture and surrounding features, which slightly affects the geometric refinement."
033_WonderWorks_Orlando_奥兰多颠倒屋_round_3_1,LS-MAS,1,8,"The symbol captures the upside-down structure of the building, including the columns and general shape. However, it lacks some detailed features like the roof texture and additional architectural elements."
034_Wujin_Lotus_Conference_Center_武进市民广场莲花馆_round_3_1,BaselineA,1,7,"The symbol captures the lotus shape, which is the core structure of the landmark. However, the base structure in the symbol is more generic and does not accurately reflect the unique architectural details of the conference center."
034_Wujin_Lotus_Conference_Center_武进市民广场莲花馆_round_3_1,BaselineB,1,9,"The symbol accurately represents the lotus shape and structure of the conference center. The petals and base are well-defined, capturing the core elements of the landmark."
034_Wujin_Lotus_Conference_Center_武进市民广场莲花馆_round_3_1,LS-MAS,1,9,"The symbol accurately represents the lotus shape and structure of the conference center. The petals and base are clearly depicted, maintaining the core identity and geometric abstraction."
035_商丘市商字雕塑_round_3_1,BaselineA,0,3,"The generated symbol does not capture the core structure or posture of the landmark. The landmark features a complex, abstract design with multiple protrusions, while the symbol is a simple character. The symbol lacks the iconic components and overall shape of the sculpture."
035_商丘市商字雕塑_round_3_1,BaselineB,0,2,"The generated symbol does not capture the core structure or posture of the landmark. It lacks the distinctive abstract and intricate design of the sculpture, resulting in a severe mismatch."
035_商丘市商字雕塑_round_3_1,LS-MAS,0,2,"The generated symbol does not capture the core structure or iconic elements of the 商丘市商字雕塑. The symbol lacks the distinctive red color and intricate design of the sculpture, and instead resembles a generic geometric shape. It fails to represent the landmark's unique features."
036_广州五羊石像雕塑_round_3_1,BaselineA,1,8,"The symbol captures the core structure of the Five Rams Statue with the correct number of rams and their general posture. However, some minor details and stylistic elements are simplified, affecting geometric refinement."
036_广州五羊石像雕塑_round_3_1,BaselineB,1,9,"The symbol accurately represents the core structure of the Five Rams Statue with five goats and a central prominent figure. The geometric abstraction is clean and topologically accurate, with minor stylistic simplifications."
036_广州五羊石像雕塑_round_3_1,LS-MAS,1,9,"The generated symbol accurately represents the core structure of the Five Rams Statue, capturing the posture and arrangement of the goats. The geometric abstraction is clear and topologically accurate, with minor stylistic simplifications."
037_炎黄二帝塑像_round_3_1,BaselineA,0,4,"The generated symbol does not represent the core structure of the twin statues in the photograph. It depicts a single seated figure, which is a significant deviation from the two large head sculptures. The structure is basic and lacks the iconic features of the landmark."
037_炎黄二帝塑像_round_3_1,BaselineB,1,8,"The generated symbol correctly identifies the core structure of the two figures in the monument. The basic shape and posture are captured, but there are slight stylistic simplifications and missing details in the facial features and headdresses."
037_炎黄二帝塑像_round_3_1,LS-MAS,1,8,"The symbol correctly identifies the two figures of the landmark, capturing the core structure. However, the geometric abstraction is slightly stylized, with simplified facial features and attire, but overall maintains good topological accuracy."
038_郑州市大玉米楼_round_3_1,BaselineA,0,4,"The generated symbol does not capture the unique cylindrical and layered structure of the landmark. The symbol shows a generic building with a pointed top, lacking the distinctive features of the real structure."
038_郑州市大玉米楼_round_3_1,BaselineB,1,8,"The symbol captures the cylindrical shape and tiered structure of the building. However, the base is slightly exaggerated and the top lacks detail, affecting geometric refinement."
038_郑州市大玉米楼_round_3_1,LS-MAS,1,8,"The symbol captures the core cylindrical structure and grid-like facade of the building. However, the top detail is slightly simplified, and the base is more stylized than in reality."
039_青岛市五四广场五月的风雕塑_round_3_1,BaselineA,1,9,"The generated symbol accurately captures the core spiral structure of the landmark. The layers and overall form are well-represented, with minor stylistic simplifications."
039_青岛市五四广场五月的风雕塑_round_3_1,BaselineB,1,9,"The generated symbol accurately captures the spiral structure and overall form of the sculpture. The topological details are well-represented, with minor stylistic simplifications."
039_青岛市五四广场五月的风雕塑_round_3_1,LS-MAS,1,9,"The generated symbol accurately captures the spiral structure and overall form of the sculpture. The topological details are well-represented, with minor stylistic simplifications."
,,,,
,,,,
==================================================,,,,
📊 消融实验定量评估结果 (Ablation Study Metrics),,,,
==================================================,,,,
   Method  Total_Evaluated Semantic_Success_Rate  Avg_Structural_Score,,,,
BaselineA               40                 62.5%                  6.32,,,,
BaselineB               40                 90.0%                  7.88,,,,
   LS-MAS               40                 92.5%                  8.10,,,,
